id,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
REEF40,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
REEF41,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
REEF42,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
REEF43,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
REEF44,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
REEF47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
REEF48,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
REEF49,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
REEF50,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
REEF51,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
REEF52,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
REEF53,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
REEF54,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
REEF55,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
REEF56,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
REEF57,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
REEF58,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
REEF59,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
REEF62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
REEF63,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
REEF64,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
REEF65,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
REEF66,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
REEF67,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
REEF68,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
REEF69,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
REEF70,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
REEF71,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
REEF72,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
REEF73,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
REEF74,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
REEF77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
REEF78,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
REEF79,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
REEF80,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
REEF81,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
REEF82,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
REEF83,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
